RT @EgyTweets RT @CandiCunningham : There are more pyramids in Peru than in Egypt #coolfacts	[u'http://en.wikipedia.org/wiki/Egypt', u'http://en.wikipedia.org/wiki/Peru']
RT @OptaJoe : 72% - Man Utd have won 72% of Premier League games with Wayne Rooney starting since Aug 2009 and just 47% without him . Hole .	[u'http://en.wikipedia.org/wiki/Premier_League', u'http://en.wikipedia.org/wiki/Glazer_ownership_of_Manchester_United', u'http://en.wikipedia.org/wiki/Steyr_AUG', u'http://en.wikipedia.org/wiki/2008%E2%80%9309_Premier_League', u'http://en.wikipedia.org/wiki/Wayne_Rooney', u'http://en.wikipedia.org/wiki/2008%E2%80%9309_Premier_League']
RT @IMDb : Here's a clip of Francis Ford Coppola accepting the Irving Thalberg Award at the 2010 Governors Awards . http://imdb.to/dqpMXP	[u'http://en.wikipedia.org/wiki/Francis_Ford_Coppola', u'http://en.wikipedia.org/wiki/Irving_Thalberg']
RT @IMDb : Gus Van Sant and Kelsey Grammer are teaming up for ' Boss ' , an eight-episode drama series for Starz . http://imdb.to/bqK23n	[u'http://en.wikipedia.org/wiki/Kelsey_Grammer', u'http://en.wikipedia.org/wiki/Kelsey_Grammer', u'http://en.wikipedia.org/wiki/Gus_Van_Sant', u'http://en.wikipedia.org/wiki/Starz_(TV_network)']
RT @markmackinnon : Russia and five other countries won't attend Nobel Peace Prize ceremony for Liu Xiaobo . Barry Manilow and Jamiroquai ...	[u'http://en.wikipedia.org/wiki/Nobel_Peace_Prize', u'http://en.wikipedia.org/wiki/Barry_Manilow', u'http://en.wikipedia.org/wiki/Liu_Xiaobo', u'http://en.wikipedia.org/wiki/Gucci_Mane', u'http://en.wikipedia.org/wiki/Jamiroquai', u'http://en.wikipedia.org/wiki/Russia']
RT @THR : Daniel Day-Lewis to Play Abraham Lincoln in Steven Spielberg Directed Biopic http://bit.ly/aonM7U	[u'http://en.wikipedia.org/wiki/Daniel_Day-Lewis', u'http://en.wikipedia.org/wiki/Biographical_film', u'http://en.wikipedia.org/wiki/Abraham_Lincoln', u'http://en.wikipedia.org/wiki/Steven_Spielberg']
RT @TMZ : Paris Hilton continued paying off her debt to society by cleaning graffiti on the streets of Hollywood -- and wo ... http://bit . ...	[u'http://en.wikipedia.org/wiki/West_Hollywood,_California', u'http://en.wikipedia.org/wiki/Paris_Hilton']
Rigoberta Menchu winner of the Nobel Peace Prize Guatemala http://t.co/wXj9nCQ via @youtube	[u'http://en.wikipedia.org/wiki/Guatemala', u'http://en.wikipedia.org/wiki/Nobel_Peace_Prize', u'http://en.wikipedia.org/wiki/Rigoberta_Mench%C3%BA']
RT @IMDb : As expected , ' Harry Potter and the Deathly Hallows ' leads the Friday #boxoffice , taking in an est . $61.2 million . http://imdb . ...	[u'http://en.wikipedia.org/wiki/Harry_Potter_and_the_Deathly_Hallows_%E2%80%93_Part_2', u'http://en.wikipedia.org/wiki/Harry_Potter_and_the_Deathly_Hallows_%E2%80%93_Part_2']
RT @FIFA_Newz : Twente fail to keep PSV pace - FC Twente slipped up in their attempts to keep pace with Eredivisie leaders PSV Eindh ... h ...	[u'http://en.wikipedia.org/wiki/FC_Twente', u'http://en.wikipedia.org/wiki/PSV_Eindhoven', u'http://en.wikipedia.org/wiki/Twente', u'http://en.wikipedia.org/wiki/Eredivisie']
BBC : Anne Hathaway to co-host Nobel peace prize concert http://is.gd/hvd61	[u'http://en.wikipedia.org/wiki/BBC', u'http://en.wikipedia.org/wiki/Anne_Hathaway', u'http://en.wikipedia.org/wiki/Nobel_Peace_Prize']
