@Jessica_Chobot did you see the yakuza vs zombies....smh but cool at the same time	 @Jessica_Chobot
RT @daviddesrosiers: Happy birthday @chuckcomeau ! have fun in vancouver tonight!	Kanye West||Gwen Stefani||  http://bit.ly/cSyZUi
Spotted: Kanye West Celebrates LAMB With Gwen Stefani: New York Fashion Week is coming to a close, but not before ... http://bit.ly/cSyZUi	 @zeeDOTi
@zeeDOTi i might join in if I make it home in time. :)	 @SinfulSalvatore
@SinfulSalvatore {drinks slowly from my cup observing your actions before clearing my throat} is -this- your plans for today?	 @daviddesrosiers|| @chuckcomeau
If you are in Belfast this weekend go to Botanic Gdns, for Taste N I, free food drink face painting etc. Should be good day out. Sat & Sun	Belfast
@jdub79 We must have been in the same bathroom today. #losers #youusedtoknowhowtoflush #followthrough	 @atlgc17
My teacher turned on the radio in class and all i heard was @justinbieber   U smile I smile  that made my day :D	 @jdub79|| #losers|| #youusedtoknowhowtoflush|| #followthrough
RT @CantBeliebIt: When Justin gets a girlfriend That Should Be Me is gonna be #1 on iTunes.	 @CantBeliebIt||Justin|| #1
When the last time you ran into Rick Ross and Drake twice in the same day at 2 diff video shoot locations. Today I did!	 @Cuddle_Factory
@atlgc17 Im 16 and a freshmen again. I fluncked once in elementry school and I fluncked last year because I never did my work.	
@Cuddle_Factory  will send again tomorrow honey too	Rick Ross
Is it cricket season? I've killed about 20 in the laundry room in the past week.	 @justinbieber
@ChefGuyFieri Pls RT - NIGHT golf tournament 9/25 to benefit 3 year old Penny of Mesa, AZ who had heart transplant. www.flancers.com 4 info	 #2010||  http://newzfor.me/?
I'll go get some #sleep before some #TGS #news, later everyone x) !	 @AlJahom||Brown|| @GdnPolitics||"I'm gonna be the next Pope"||"I won't stop you as long as you make sure it's my turn next"
Copa Sudamericana #2010: Thursday Round-Up - http://newzfor.me/?754c	 #sleep|| #TGS|| #news
RT @GdnPolitics: RT @AlJahom: Blair: "I'm gonna be the next Pope" Brown: "I won't stop you as long as you make sure it's my turn next"	Mesa, AZ|| @ChefGuyFieri||www.flancers.com
Ball Gowns: Becoming the Belle of the Ball. It's easy to shine like a star when you know some basic tricks. http://bit.ly/d4s9RR	Ball Corporation||Belle||  http://bit.ly/d4s9RR
I favorited a YouTube video -- Yoav "We All Are Dancing" (Copenhagen March 2010) http://youtu.be/xi8qJ3IKK8U?a	Oct 9|| @MiChY_pEaChY|| @LiifeSizeDoll
Apparently 40 days, 1 hour, 49 mins and 36 seconds to Doha....	March 2010||"We All Are Dancing"||  http://youtu.be/xi8qJ3IKK8U?
Oct 9 ( happy dance ) RT @MiChY_pEaChY    @LiifeSizeDoll wens ur bdayy boo??!!	Hong Kong||  http://bit.ly/aFLHax
@godsgirl8494 I believe in the sun, even when it is not shining. I believe in love, even when I do not feel it. :)	
Chinese symbols Sotheby | 's Hong Kong twentieth century Chinese art sales fall in October http://bit.ly/aFLHax	 @jdsamson
Is so excited to get some dancing done tonight with @jdsamson /MEN at The Echo.	
...around all day isnt good for you, least i get home-relaxing time, thursday and frees to keeep me sane :)	 @godsgirl8494||the sun
Playboy - 10 October 2010  Slovenia: Playboy - 10 October 2010  SloveniaSlovene | 138 pages | PDF | 39.45 Mb http://bit.ly/aJILb4	 @LoveQuotesx
RT @LoveQuotesx: Have you ever noticed that the worst way to miss someone is when they are right beside you and you can never have them?	10 October 2010||Slovenia||  http://bit.ly/aJILb4
RT @JR_Swish: Every time I look @NICKIMINAJ I just be lost for words damn! #shhhhhhh	 @JR_Swish|| @NICKIMINAJ|| #shhhhhhh
Getting this head right for whateva I get into tonite #sittinupunderthedryertweet	 #sittinupunderthedryertweet
Today's post is about 3D graffitti ... http://francescoandreone.blogspot.com/2010/09/banksy-makes-social-commentary-art.html	  http://francescoandreone.blogspot.com/2010/09/banksy-makes-social-commentary-art.html
Whats goin on (in tally) tonight twitter!!	
@Dazzx I think you may have mentioned it. Once or twice. :)	
Coach Germano, Albin, Haines and Burrow each had home damage from the storm yesterday, according to @JasonCorriher.	 @samanthaaai
