@Jessica_Chobot did you see the yakuza vs zombies .... smh but cool at the same time	['the yakuza']
RT @daviddesrosiers : Happy birthday @chuckcomeau ! have fun in vancouver tonight !	['Happy birthday', 'vancouver']
Spotted : Kanye West Celebrates LAMB With Gwen Stefani : New York Fashion Week is coming to a close , but not before ... http://bit.ly/cSyZUi	['Kanye West', 'Gwen Stefani', 'New York Fashion Week']
@zeeDOTi i might join in if I make it home in time . :)	[]
@SinfulSalvatore { drinks slowly from my cup observing your actions before clearing my throat } is -this- your plans for today ?	[]
If you are in Belfast this weekend go to Botanic Gdns , for Taste N I , free food drink face painting etc . Should be good day out . Sat & Sun	['Belfast', 'Botanic', 'good day', 'Sat', 'Sun']
@jdub79 We must have been in the same bathroom today . #losers #youusedtoknowhowtoflush #followthrough	[]
My teacher turned on the radio in class and all i heard was @justinbieber U smile I smile that made my day :D	['on the radio', 'my day']
RT @CantBeliebIt : When Justin gets a girlfriend That Should Be Me is gonna be #1 on iTunes .	['Justin', 'iTunes']
When the last time you ran into Rick Ross and Drake twice in the same day at 2 diff video shoot locations . Today I did !	['the last time', 'Rick Ross', 'Drake']
@atlgc17 Im 16 and a freshmen again . I fluncked once in elementry school and I fluncked last year because I never did my work .	['last year', 'I never']
@Cuddle_Factory will send again tomorrow honey too	[]
Is it cricket season ? I've killed about 20 in the laundry room in the past week .	['cricket season', 'laundry room']
@ChefGuyFieri Pls RT - NIGHT golf tournament 9/25 to benefit 3 year old Penny of Mesa , AZ who had heart transplant . www.flancers.com 4 info	['Mesa', 'AZ']
I'll go get some #sleep before some #TGS #news , later everyone x ) !	['get some', '#TGS']
Copa Sudamericana #2010 : Thursday Round-Up - http://newzfor.me/?754c	['Copa Sudamericana']
RT @GdnPolitics : RT @AlJahom : Blair : " I'm gonna be the next Pope " Brown : " I won't stop you as long as you make sure it's my turn next "	['Blair', 'Pope', 'Brown']
Ball Gowns : Becoming the Belle of the Ball . It's easy to shine like a star when you know some basic tricks . http://bit.ly/d4s9RR	['the Ball', 'Belle']
I favorited a YouTube video -- Yoav " We All Are Dancing " ( Copenhagen March 2010 ) http://youtu.be/xi8qJ3IKK8U?a	['YouTube', 'Yoav', 'Copenhagen']
Apparently 40 days , 1 hour , 49 mins and 36 seconds to Doha ....	['Doha']
Oct 9 ( happy dance ) RT @MiChY_pEaChY @LiifeSizeDoll wens ur bdayy boo ??!!	['Oct']
@godsgirl8494 I believe in the sun , even when it is not shining . I believe in love , even when I do not feel it . :)	['I believe', 'the sun']
Chinese symbols Sotheby | ' s Hong Kong twentieth century Chinese art sales fall in October http://bit.ly/aFLHax	['Hong Kong', 'twentieth century', 'Chinese art', 'Sotheby']
Is so excited to get some dancing done tonight with @jdsamson /MEN at The Echo .	['so excited', 'get some', 'The Echo']
... around all day isnt good for you , least i get home-relaxing time , thursday and frees to keeep me sane :)	['all day']
Playboy - 10 October 2010 Slovenia : Playboy - 10 October 2010 SloveniaSlovene | 138 pages | PDF | 39.45 Mb http://bit.ly/aJILb4	['Playboy', 'Slovenia']
RT @LoveQuotesx : Have you ever noticed that the worst way to miss someone is when they are right beside you and you can never have them ?	[]
RT @JR_Swish : Every time I look @NICKIMINAJ I just be lost for words damn ! #shhhhhhh	['Every time', 'just be']
Getting this head right for whateva I get into tonite #sittinupunderthedryertweet	[]
Today's post is about 3D graffitti ... http://francescoandreone.blogspot.com/2010/09/banksy-makes-social-commentary-art.html	['Today']
Whats goin on ( in tally ) tonight twitter !!	['twitter']
@Dazzx I think you may have mentioned it . Once or twice . :)	[]
Coach Germano , Albin , Haines and Burrow each had home damage from the storm yesterday , according to @JasonCorriher .	['Germano', 'Albin', 'the storm', 'Haines']
I really feel like staying up all night listening to my CDs . The neighbours and my boss at work tomorrow would complain , so no can do :(	['up all night']
@samanthaaai Up super duper early next week :|	[]
@SweetTartelette Glad to hear they are okay . A drunk ran into the back of my son's car this week . He said it was frightening . N	['my son', 'this week']
RT @Ashanie_di_Don : @JDay_Sept15 lol i see someone hyped and ready for #FlavaFridays tonight < every week . Lets get it !	['#FlavaFridays']
My horrible doctor was featured on Oh Canada Team's blog : http://ohcanadateam.blogspot.com/2010/09/friday-finds-doctor-horrible.html	['Canada', 'Team']
Internet . My MOM got a tattoo today . Which , if one knows her , is so out of character . I find it awesome . Go ma !	[]
@wonderwhygal I was trying to be sly today . I started a new hat , and have a pink one done 4 @loongirl My goal is 5 .	[]
Saturday September 18th 2010 8pm Hotel Elegante Steve " Stylez " A.K.A. Desperado Birthday Bash ! " Headrush in da building "	['September', 'Stylez', 'Birthday Bash', 'Desperado', 'Headrush']
Day three of St John's wort tea for anxiety . So far today I havent had a panic attack ... we'll see if this works !	['St John', 'So far', 'panic attack', "St John's"]
@GhostAdventures Did you know ur new season starts tonight ? jk The best paranormal show #Ghostadventures !	['The best', '#Ghostadventures']
Report : Michael Vick Will Start for Eagles on Sunday http://t.co/UqXcSXT	['Michael Vick', 'Eagles']
RT @DubOnDaBeatz : People who gossip remind me of reporters #nshit always got da latest info on somebody ! Time for you loose lips to chan ...	['remind me', 'loose lips', 'chan']
Hey . #dmv . There is a march . 10-2-10 onenationworkingtogether.org for more info	[]
ok bed time . I think i'ma curl up and watch Sabrina !!! Thanks @louisha !!! x	['Sabrina']
@vincentsmojo You think I secretly love dresses lol Only when Lilia wears them ;)	['Lilia']
Lucid Dementia Playing in Austin Tonite at The Scoot Inn at 1am !	['Austin']
@hannibal_flow I got miami pics for days lol	['miami']
3 an a half days then I'm on HOLIDAY oh yes can't wait ;-) ;-) ;-)	[]
ALL TIME LOW ARE COMMING TO GLASGOW !!!!!!!!!!!!!!!!!!!	['ALL TIME LOW', 'GLASGOW']
Let's get this show on the road ! May you have an easy fast and be inscribed for a good year . Gmar Chatimah Tova ! #YomKippur #5771	['on the road', 'get this', 'Let', 'a good year', 'Tova']
Over My Boyfriend House Tonite We Going Do The Damn Thing .	[]
omg @wethekings is playing a show at Stetson in November .. if it's students only , I will be pissed	['Stetson', 'it', 'I will be']
Need to put summer to bed by Monday -- just in time for the equinox .	['just in time']
Because maybe You're gonna be the one who saves me ? And after all You're my wonderwall	['the one', 'wonderwall']
RT @MirandaBuzz : Were working til midnight tonight ! Sleepover on set !	[]
@rachelshaps - dang ! I didn't know you were giving shoutouts ! Haha oh well . They're is always next friday :)	[]
I need a place to work out with free weights for the day . somebody hook that up . #SwollOn	['work out', 'the day']
I'm feelin better than some head on a Sunday afternoon , better than a chick that said yes too soon .	['better than', 'head on']
Grammar Boot Camp starts on Monday ! 7th graders should be ready to GO-GO-GO !!!! 8th Graders have a big project due next Friday ... be ready !	['Boot Camp', 'Friday']
Only a few short weeks until the Great Pumpkin rises ! Maybe he will bring me an iPad ! http://grtpmpkin.com/4fj	['the Great Pumpkin', 'iPad']
omg i get paid today yesss	[]
RT @MarioBB9 : Pope says atheists pick and choose their morals . Correct . Today I will be frowning on child abuse and not having a proble ...	['Pope', 'I will be', 'child abuse']
Lines for Tonight's game 9:00 pm at Burnaby 8Rinks . Please note , these are not the lines for showering tonight ! http://twitpic.com/2pducs	['Tonight', 'Burnaby', 'the lines']
OK IMMA ASK THIS AGAIN HOW LONG DO YOU TALK TO A GIRL BEFORE U MAKE IT OFFICIAL & START GOIN OUT WITH HER ????	['HOW LONG', 'YOU TALK']
today in a nutshell ; abusing blind people , seducing teachers , chinese takeaways , gatt holly , phil collins , the skin of a goblins nose , lush	['holly', 'phil collins']
Having movie night tonight at the crib and ur not invited * BBM sticks tongue out smiley *	['BBM']
RT @ssssab : Mariano : she used to be a very nice girl , before she discovered macdonalds	['Mariano', 'macdonalds']
Costco Irvine has fresh sushi samples today . Awesome .	['Costco', 'Irvine']
@KaulitzClub Hahaha ! We dance , eat , drink , and talk EVERYTIME we get together . And it's been this way for like years now !	['We dance', 'get together']
Tonight is going to be romantic	[]
@glacerie It's in my tweets a year ago I'll pull up the story later on . Just hope the film helps Shange sell more books .	['a year', 'Shange']
@The_TDawson what were yu talking about yesterday ?	[]
Jessum's Question of teh Day : who's you favorite sidekick ? Yesterday's results : http://yfrog.com/mmeoxj	['who']
