@Jessica_Chobot did you see the yakuza vs zombies .... smh but cool at the same time	the yakuza	{'the yakuza': '/en/the_yakuza'}
RT @daviddesrosiers : Happy birthday @chuckcomeau ! have fun in vancouver tonight !	vancouver	{'vancouver': '/en/city_of_vancouver'}
Spotted : Kanye West Celebrates LAMB With Gwen Stefani : New York Fashion Week is coming to a close , but not before ... http://bit.ly/cSyZUi	Kanye West||New York Fashion Week||Gwen Stefani	{'Kanye West': '/en/kanye_west', 'New York Fashion Week': '/en/new_york_fashion_week', 'Gwen Stefani': '/en/gwen_stefani'}
@zeeDOTi i might join in if I make it home in time . :)		{}
@SinfulSalvatore { drinks slowly from my cup observing your actions before clearing my throat } is -this- your plans for today ?		{}
If you are in Belfast this weekend go to Botanic Gdns , for Taste N I , free food drink face painting etc . Should be good day out . Sat & Sun	Sun||Sat||Belfast||Botanic	{'Sun': '/en/the_sun', 'Sat': '/en/sat', 'Belfast': '/en/the_belfast_telegraph', 'Botanic': '/en/kew_royal_botanic_gardens'}
@jdub79 We must have been in the same bathroom today . #losers #youusedtoknowhowtoflush #followthrough		{}
My teacher turned on the radio in class and all i heard was @justinbieber U smile I smile that made my day :D		{}
RT @CantBeliebIt : When Justin gets a girlfriend That Should Be Me is gonna be #1 on iTunes .	iTunes||Justin	{'iTunes': '/en/itunes', 'Justin': '/en/justin_bieber'}
When the last time you ran into Rick Ross and Drake twice in the same day at 2 diff video shoot locations . Today I did !	Rick Ross||Drake	{'Rick Ross': '/en/rick_ross_1977', 'Drake': '/en/aubrey_graham'}
@atlgc17 Im 16 and a freshmen again . I fluncked once in elementry school and I fluncked last year because I never did my work .		{}
@Cuddle_Factory will send again tomorrow honey too		{}
Is it cricket season ? I've killed about 20 in the laundry room in the past week .		{}
@ChefGuyFieri Pls RT - NIGHT golf tournament 9/25 to benefit 3 year old Penny of Mesa , AZ who had heart transplant . www.flancers.com 4 info	Mesa||AZ	{'Mesa': '/en/mesa', 'AZ': '/en/az_alkmaar'}
I'll go get some #sleep before some #TGS #news , later everyone x ) !	#TGS	{'#TGS': '/en/30_rock'}
Copa Sudamericana #2010 : Thursday Round-Up - http://newzfor.me/?754c	Copa Sudamericana	{'Copa Sudamericana': '/en/copa_sudamericana'}
RT @GdnPolitics : RT @AlJahom : Blair : " I'm gonna be the next Pope " Brown : " I won't stop you as long as you make sure it's my turn next "	Brown||Blair||Pope	{'Brown': '/en/gordon_brown', 'Blair': '/en/tony_blair', 'Pope': '/en/pope'}
Ball Gowns : Becoming the Belle of the Ball . It's easy to shine like a star when you know some basic tricks . http://bit.ly/d4s9RR	Belle	{'Belle': '/en/belle_epoque'}
I favorited a YouTube video -- Yoav " We All Are Dancing " ( Copenhagen March 2010 ) http://youtu.be/xi8qJ3IKK8U?a	Copenhagen||YouTube||Yoav	{'Copenhagen': '/en/copenhagen', 'YouTube': '/en/youtube', 'Yoav': '/en/yoav'}
Apparently 40 days , 1 hour , 49 mins and 36 seconds to Doha ....	Doha	{'Doha': '/en/doha'}
Oct 9 ( happy dance ) RT @MiChY_pEaChY @LiifeSizeDoll wens ur bdayy boo ??!!	Oct	{'Oct': '/en/hyoscyamine'}
@godsgirl8494 I believe in the sun , even when it is not shining . I believe in love , even when I do not feel it . :)		{}
Chinese symbols Sotheby | ' s Hong Kong twentieth century Chinese art sales fall in October http://bit.ly/aFLHax	Hong Kong||Sotheby	{'Hong Kong': '/en/hong_kong', 'Sotheby': '/en/sothebys'}
Is so excited to get some dancing done tonight with @jdsamson /MEN at The Echo .		{}
... around all day isnt good for you , least i get home-relaxing time , thursday and frees to keeep me sane :)		{}
Playboy - 10 October 2010 Slovenia : Playboy - 10 October 2010 SloveniaSlovene | 138 pages | PDF | 39.45 Mb http://bit.ly/aJILb4	Slovenia||Playboy	{'Slovenia': '/en/slovenia', 'Playboy': '/en/playboy'}
RT @LoveQuotesx : Have you ever noticed that the worst way to miss someone is when they are right beside you and you can never have them ?		{}
RT @JR_Swish : Every time I look @NICKIMINAJ I just be lost for words damn ! #shhhhhhh		{}
Getting this head right for whateva I get into tonite #sittinupunderthedryertweet		{}
Today's post is about 3D graffitti ... http://francescoandreone.blogspot.com/2010/09/banksy-makes-social-commentary-art.html		{}
Whats goin on ( in tally ) tonight twitter !!	twitter	{'twitter': '/en/twitter'}
@Dazzx I think you may have mentioned it . Once or twice . :)		{}
Coach Germano , Albin , Haines and Burrow each had home damage from the storm yesterday , according to @JasonCorriher .	Germano||Haines||Albin	{'Germano': '/en/germano', 'Haines': '/en/emily_haines', 'Albin': '/en/albin_ekdal'}
I really feel like staying up all night listening to my CDs . The neighbours and my boss at work tomorrow would complain , so no can do :(		{}
@samanthaaai Up super duper early next week :|		{}
@SweetTartelette Glad to hear they are okay . A drunk ran into the back of my son's car this week . He said it was frightening . N		{}
RT @Ashanie_di_Don : @JDay_Sept15 lol i see someone hyped and ready for #FlavaFridays tonight < every week . Lets get it !		{}
My horrible doctor was featured on Oh Canada Team's blog : http://ohcanadateam.blogspot.com/2010/09/friday-finds-doctor-horrible.html	Canada||Team	{'Canada': '/en/canada_mens_national_soccer_team', 'Team': '/en/united_states_mens_national_soccer_team'}
Internet . My MOM got a tattoo today . Which , if one knows her , is so out of character . I find it awesome . Go ma !		{}
@wonderwhygal I was trying to be sly today . I started a new hat , and have a pink one done 4 @loongirl My goal is 5 .		{}
